n recursive_time iterative_time
0 0.000000002226000 0.000000001652350
1 0.000000004245000 0.000000002926330
2 0.000000006820000 0.000000003978500
3 0.000000009410000 0.000000004930330
4 0.000000012041000 0.000000006707550
5 0.000000014592000 0.000000007654730
6 0.000000017468000 0.000000009372500
7 0.000000020258000 0.000000010940390
8 0.000000023604000 0.000000012725140
9 0.000000026709000 0.000000014894340
10 0.000000030081000 0.000000017337760
11 0.000000034462000 0.000000019142660
12 0.000000038582000 0.000000020763820
13 0.000000040416000 0.000000022493510
14 0.000000043989000 0.000000023874470
15 0.000000048538000 0.000000026327660
16 0.000000051378000 0.000000034339540
17 0.000000051442000 0.000000029875370
18 0.000000055990000 0.000000032839810
19 0.000000060727000 0.000000033082290
20 0.000000060624000 0.000000034671650
21 0.000000063503000 0.000000036568710
22 0.000000066068000 0.000000038514160
23 0.000000068952000 0.000000040379130
24 0.000000072247000 0.000000042308210
25 0.000000074992000 0.000000044220180
26 0.000000077921000 0.000000046133900
27 0.000000081364000 0.000000047996800
28 0.000000084573000 0.000000050035450
29 0.000000087315000 0.000000051860410
30 0.000000096886000 0.000000067844850
