n recursive_time iterative_time
0 0.000000002000000 0.000000001803000
1 0.000000002000000 0.000000001768000
2 0.000000006500000 0.000000002768000
3 0.000000009800000 0.000000004062000
4 0.000000018400000 0.000000005466000
5 0.000000031200000 0.000000007433000
6 0.000000055500000 0.000000008784000
7 0.000000086200000 0.000000010649000
8 0.000000137300000 0.000000012318000
9 0.000000224600000 0.000000014252000
10 0.000000373300000 0.000000015373000
11 0.000000613300000 0.000000017488000
12 0.000000962000000 0.000000019289000
13 0.000001560400000 0.000000020880000
14 0.000002511400000 0.000000022650000
15 0.000004035900000 0.000000024412000
16 0.000006532800000 0.000000027601000
17 0.000010466200000 0.000000029720000
18 0.000016948500000 0.000000030126000
19 0.000027874900000 0.000000032967000
20 0.000044708800000 0.000000035152000
21 0.000072129300000 0.000000035952000
22 0.000119167900000 0.000000045960000
23 0.000191985500000 0.000000042194000
24 0.000312609100000 0.000000043779000
25 0.000498276100000 0.000000045946000
26 0.000811777100000 0.000000046696000
27 0.001310446400000 0.000000048884000
28 0.002106103500000 0.000000050893000
29 0.003428933800000 0.000000053283000
30 0.005560515800000 0.000000055177000
