n recursive_time iterative_time
0 0.000000002100000 0.000000001816000
1 0.000000002000000 0.000000001826000
2 0.000000006400000 0.000000002793000
3 0.000000009900000 0.000000004296000
4 0.000000018600000 0.000000005666000
5 0.000000029900000 0.000000007700000
6 0.000000112800000 0.000000009202000
7 0.000000083900000 0.000000012360000
8 0.000000155000000 0.000000013823000
9 0.000000222600000 0.000000014186000
10 0.000000375700000 0.000000015835000
11 0.000000589100000 0.000000017669000
12 0.000000951600000 0.000000018986000
13 0.000001526000000 0.000000020670000
14 0.000002473800000 0.000000022390000
15 0.000004068100000 0.000000024705000
16 0.000006511900000 0.000000026242000
17 0.000010534900000 0.000000028019000
18 0.000017025000000 0.000000031896000
19 0.000028012900000 0.000000033389000
20 0.000045179800000 0.000000036007000
21 0.000072929300000 0.000000038153000
22 0.000117421300000 0.000000038953000
23 0.000190362100000 0.000000040933000
24 0.000310145900000 0.000000044539000
25 0.000500472500000 0.000000045261000
26 0.000807892400000 0.000000046539000
27 0.001307476300000 0.000000048626000
28 0.002111264900000 0.000000051688000
29 0.003462004700000 0.000000054092000
30 0.005572323600000 0.000000056361000
